     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.15568E+00   0.60745E+00   0.33380E+00   0.27999E+00   0.14690E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.15801E+00   0.59652E+00   0.33305E+00   0.27586E+00   0.13808E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16038E+00   0.58566E+00   0.33228E+00   0.27168E+00   0.12969E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16279E+00   0.57489E+00   0.33149E+00   0.26748E+00   0.12173E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16523E+00   0.56419E+00   0.33068E+00   0.26324E+00   0.11421E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16770E+00   0.55359E+00   0.32985E+00   0.25897E+00   0.10711E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17022E+00   0.54308E+00   0.32900E+00   0.25468E+00   0.10044E-03   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17277E+00   0.53266E+00   0.32812E+00   0.25035E+00   0.94191E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17536E+00   0.52234E+00   0.32723E+00   0.24601E+00   0.88352E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17799E+00   0.51213E+00   0.32632E+00   0.24164E+00   0.82914E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18066E+00   0.50202E+00   0.32538E+00   0.23725E+00   0.77863E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18336E+00   0.49202E+00   0.32443E+00   0.23284E+00   0.73184E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18611E+00   0.48213E+00   0.32345E+00   0.22841E+00   0.68862E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18890E+00   0.47235E+00   0.32245E+00   0.22396E+00   0.64879E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19173E+00   0.46268E+00   0.32142E+00   0.21951E+00   0.61218E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19461E+00   0.45313E+00   0.32037E+00   0.21504E+00   0.57860E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19753E+00   0.44370E+00   0.31930E+00   0.21056E+00   0.54785E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20049E+00   0.43438E+00   0.31820E+00   0.20608E+00   0.51976E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20349E+00   0.42517E+00   0.31707E+00   0.20159E+00   0.49411E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20654E+00   0.41608E+00   0.31592E+00   0.19710E+00   0.47073E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.20964E+00   0.40711E+00   0.31474E+00   0.19261E+00   0.44943E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21278E+00   0.39824E+00   0.31354E+00   0.18813E+00   0.43002E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21597E+00   0.38949E+00   0.31230E+00   0.18364E+00   0.41233E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.21921E+00   0.38085E+00   0.31104E+00   0.17917E+00   0.39618E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22250E+00   0.37232E+00   0.30975E+00   0.17470E+00   0.38141E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22583E+00   0.36390E+00   0.30843E+00   0.17025E+00   0.36788E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.22922E+00   0.35558E+00   0.30708E+00   0.16581E+00   0.35543E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23265E+00   0.34736E+00   0.30569E+00   0.16139E+00   0.34394E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23614E+00   0.33923E+00   0.30428E+00   0.15700E+00   0.33327E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.23968E+00   0.33121E+00   0.30283E+00   0.15262E+00   0.32332E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.24327E+00   0.32328E+00   0.30135E+00   0.14827E+00   0.31397E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.24692E+00   0.31543E+00   0.29983E+00   0.14395E+00   0.30513E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.25062E+00   0.30767E+00   0.29828E+00   0.13966E+00   0.29672E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.25438E+00   0.30000E+00   0.29669E+00   0.13540E+00   0.28865E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.25819E+00   0.29240E+00   0.29506E+00   0.13117E+00   0.28087E-04   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
