     mchi           x            b             tau            c           u,d,s         top            Z             W         Z no prompt   W no prompt
 0.10000E+02   0.16523E+00   0.26021E+00   0.16519E+01   0.34164E-02   0.35131E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.16770E+00   0.25540E+00   0.16477E+01   0.33335E-02   0.33952E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17022E+00   0.25053E+00   0.16434E+01   0.32560E-02   0.32779E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17277E+00   0.24562E+00   0.16390E+01   0.31838E-02   0.31616E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17536E+00   0.24067E+00   0.16345E+01   0.31165E-02   0.30463E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.17799E+00   0.23567E+00   0.16299E+01   0.30537E-02   0.29320E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18066E+00   0.23063E+00   0.16252E+01   0.29952E-02   0.28189E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18336E+00   0.22555E+00   0.16204E+01   0.29405E-02   0.27072E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18611E+00   0.22043E+00   0.16155E+01   0.28893E-02   0.25969E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.18890E+00   0.21528E+00   0.16105E+01   0.28413E-02   0.24881E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 0.10000E+02   0.19173E+00   0.21009E+00   0.16054E+01   0.27962E-02   0.23810E-05   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
